성분명,성분코드,제품코드,제품명,업소명,공고일자,공고번호,약품상세정보,비고,급여여부
quetiapine fumarate (as quetiapine),378605ATB,651904380,큐로켈정50밀리그램(쿠에티아핀푸마르산염)_(57.57mg/1정),명인제약(주),2021-07-15,20210248,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",,급여
clobazam,135702ATB,652100530,센틸정5밀리그람(클로바잠)_(5mg/1정),(주)한독,2017-02-16,20170079,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,급여
Imidafenacin,505801ATB,668901560,유리토스정(이미다페나신)_(0.1mg/1정),(주)엘지화학,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
clonazepam,136401ATB,643308800,리보트릴정(클로나제팜)_(0.5mg/1정),(주)종근당,2017-02-16,20170079,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,급여
clonazepam,136401ATB,657202690,환인클로나제팜정0.5밀리그램_(0.5mg/1정),환인제약(주),2017-02-16,20170079,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,급여
ethyl loflazepate,156202ATB,642000520,빅손정(에칠로플라제페이트)_(2mg/1정),현대약품(주),2017-02-16,20170079,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,급여
fesoterodine fumarate,503802ATR,648901330,토비애즈서방정8밀리그람(페소테로딘푸마르산염)_(8mg/1정),한국화이자제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
flunitrazepam,160601ATB,651900330,루나팜정(플루니트라제팜)_(1mg/1정),명인제약(주),2017-02-16,20170079,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,급여
flunitrazepam,160601ATB,657200130,라제팜정(플루니트라제팜)_(1mg/1정),환인제약(주),2017-02-16,20170079,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,급여
aripiprazole,451503ATB,645305420,한림아리피프라졸정5밀리그램_(5mg/1정),한림제약(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451503ATB,657202400,아리피졸정5밀리그램(아리피프라졸)_(5mg/1정),환인제약(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451503ATB,651903570,레피졸정5밀리그램(아리피프라졸)_(5mg/1정),명인제약(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451503ATB,642404240,아리피진정5밀리그램(아리피프라졸)_(5mg/1정),영진약품(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451503ATB,653005450,아라빌정5밀리그램(아리피프라졸)_(5mg/1정),(주)한국파마,2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451503ATB,642707370,아리피코정5밀리그램(아리피프라졸(미분화))_(5mg/1정),동화약품(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451503ATB,642002720,아빌라핀정5밀리그램(아리피프라졸)_(5mg/1정),현대약품(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451503ATB,649900110,아빌리파이정5밀리그램(아리피프라졸)_(5mg/1정),한국오츠카제약(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451503ATB,671706750,아리졸정5밀리그램(아리피프라졸(미분화))_(5mg/1정),주식회사제뉴원사이언스,2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
oxybutynin chloride,207001ATB,642700300,동화디트로판정(옥시부티닌염산염)_(5mg/1정),동화약품(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
risperidone,224203ATB,646902460,리스페달정3밀리그램(리스페리돈)_(3mg/1정),(주)한국얀센,2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224203ATB,698004540,리페넥스정3밀리그램(리스페리돈)_(3mg/1정),(주)제뉴파마,2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224203ATB,645305660,리스달정3밀리그램(리스페리돈)_(3mg/1정),한림제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224203ATB,627600040,피엠에스리스페리돈정3밀리그램(리스페리돈)_(3mg/1정),파마사이언스코리아(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224203ATB,651900400,리스펜정3밀리그람(리스페리돈)_(3mg/1정),명인제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224203ATB,657200250,리페리돈정3밀리그램(리스페리돈)_(3mg/1정),환인제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224203ATB,653004990,리스돈정3밀리그램(리스페리돈)_(3mg/1정),(주)한국파마,2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
olanzapine,204001ATB,643904000,산도스올란자핀정10밀리그램_(10mg/1정),삼일제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,651903280,뉴로자핀정10밀리그램(올란자핀)_(10mg/1정),명인제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,653005550,올자펙스정10밀리그램(올란자핀)_(10mg/1정),(주)한국파마,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,657202160,자이레핀정10밀리그램(올란자핀)_(10mg/1정),환인제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,626900640,테바올란자핀정10밀리그램_(10mg/1정),(주)한독테바,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,645304970,자이자핀정10mg(올란자핀)_(10mg/1정),한림제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,642002520,올라핀정10밀리그램(올란자핀)_(10mg/1정),현대약품(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,642705690,올자핀정10밀리그램(올란자핀)_(10mg/1정),동화약품(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,642405060,영진올란자핀정10밀리그램_(10mg/1정),영진약품(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,640005830,에이프렉사정10밀리그램(올란자핀)_(10mg/1정),에이치케이이노엔(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,698003780,피엠에스올란자핀정10밀리그램(올란자핀)_(10mg/1정),(주)제뉴파마,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204001ATB,641908410,자이프렉사정10밀리그램(올란자핀)_(10mg/1정),(주)보령,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204004ATB,643904020,산도스올란자핀정2.5밀리그램_(2.5mg/1정),삼일제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204004ATB,645307110,자이자핀정2.5밀리그램(올란자핀)_(2.5mg/1정),한림제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204004ATB,626900630,테바올란자핀정2.5밀리그램_(2.5mg/1정),(주)한독테바,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
