성분코드,성분명,제품코드,제품명,업소명,약품상세정보,급여여부
100901ATB,aceclofenac,641601920,에어탈정(아세클로페낙)_(0.1g/1정),(주)대웅제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,641704880,아리탈정(아세클로페낙)_(0.1g/1정),일양약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,641802300,에어낙정(아세클로페낙)_(0.1g/1정),광동제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,642003290,현대아세클로페낙정_(0.1g/1정),현대약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,642302610,아세크로나정(아세클로페낙)_(0.1g/1정),삼성제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,642403620,엔페낙정(아세클로페낙)_(0.1g/1정),영진약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,642502460,아크로펜정(아세클로페낙)_(0.1g/1정),동아에스티(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,642702240,아세크론정(아세클로페낙)_(0.1g/1정),동화약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,642802650,류마크로정(아세클로페낙)_(0.1g/1정),고려제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,643100050,뉴마탈정(아세클로페낙)_(0.1g/1정),(주)바이넥스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,643202500,동성아세클로페낙정_(0.1g/1정),동성제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,643301260,세클로낙정(아세클로페낙)_(0.1g/1정),(주)종근당,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,643501740,아섹정100밀리그램(아세클로페낙)_(0.1g/1정),한미약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,643701580,아로펜정(아세클로페낙)(수출명:아로페나정)_(0.1g/1정),국제약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,643903550,아세펜정(아세클로페낙)_(0.1g/1정),삼일제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,644000990,세클펜정(아세클로페낙)(수출명:CECLOFEN Tab.)_(0.1g/1정),삼익제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,644304160,클란자정(아세클로페낙)(수출명:SpeenacTabs.)_(0.1g/1정),한국유나이티드제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,644603430,아크로낙정(아세클로페낙)_(0.1g/1정),조아제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,644703320,아크로신정(아세클로페낙)_(0.1g/1정),에스케이케미칼(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,644802230,태극아세클로페낙정_(0.1g/1정),태극제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,645202010,아세낙정(아세클로페낙)_(0.1g/1정),(주)에이프로젠바이오로직스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,645300710,베오페낙정(아세클로페낙)_(0.1g/1정),한림제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,645403280,에이펙스정(아세클로페낙)_(0.1g/1정),제일약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,645604400,아세틸론정(아세클로페낙)_(0.1g/1정),대화제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,646002430,페노클정(아세클로페낙)_(0.1g/1정),(주)메디카코리아,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,646201260,아세젠정(아세클로페낙)_(0.1g/1정),(주)뉴젠팜,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,647200400,아낙정(아세클로페낙)_(0.1g/1정),한국코러스(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,647300800,아세클낙정(아세클로페낙)_(0.1g/1정),에이치엘비제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,647803710,크리페낙정(아세클로페낙)_(0.1g/1정),삼진제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,648101500,"에이서정(아세클로페낙)(수출명: SEONAC, BEEOCURACIN)_(0.1g/1정)",경동제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,648203610,아로낙정(아세클로페낙)_(0.1g/1정),(주)유영제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,648502580,아클론정(아세클로페낙)_(0.1g/1정),신풍제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,648601250,아포낙정(아세클로페낙)_(0.1g/1정),(주)씨엠지제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,649001080,아세롬정100밀리그램(아세클로페낙)_(0.1g/1정),풍림무약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,649102100,에어클란정(아세클로페낙)_(0.1g/1정),한국휴텍스제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,649404530,알로페낙정(아세클로페낙)_(0.1g/1정),영일제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,649502440,유니세탈정(아세클로페낙)_(0.1g/1정),유니메드제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,649601680,에이펜정(아세클로페낙)_(0.1g/1정),대우제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,649701520,지엘아세클로페낙정100밀리그램_(0.1g/1정),지엘파마(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,649802300,아로탈정(아세클로페낙)(수출명:아로세탈정(Arocetaltablet))_(0.1g/1정),명문제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,650201020,아세페낙정(아세클로페낙)_(0.1g/1정),안국약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,650300920,아엔탈정(아세클로페낙)_(0.1g/1정),진양제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,651201220,아세클정(아세클로페낙)_(0.1g/1정),삼천당제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,651501060,아세크로정(아세클로페낙)_(0.1g/1정),(주)하원제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,651601780,앤세낙정(아세클로페낙)_(0.1g/1정),한화제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,652604210,에어펜정(아세클로페낙)_(0.1g/1정),알보젠코리아(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,653001330,아나클정(아세클로페낙)(수출명:파나정정)_(0.1g/1정),(주)한국파마,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,653401660,아세탈정(아세클로페낙)_(0.1g/1정),동국제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,653702340,아리펜정(아세클로페낙)_(0.1g/1정),삼남제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,653802100,에이낙정(아세클로페낙)_(0.1g/1정),신일제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,654001260,아펜탈정(아세클로페낙)_(0.1g/1정),아주약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,654301800,아세탑정(아세클로페낙)_(0.1g/1정),오스틴제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,654700420,아세클라정(아세클로페낙)_(0.1g/1정),케이엠에스제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,655601230,아세로정(아세클로페낙)_(0.1g/1정),한올바이오파마(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,656000830,아페낙정(아세클로페낙)_(0.1g/1정),알리코제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,656701110,에어팩정(아세클로페낙)_(0.1g/1정),한국넬슨제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,657202270,아펜탁정(아세클로페낙)_(0.1g/1정),환인제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,657302780,에어페낙정(아세클로페낙)_(0.1g/1정),(주)동구바이오제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,657502440,아덴만정(아세클로페낙)_(0.1g/1정),미래바이오제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,657801040,세니탈정(아세클로페낙)(수출명:하나세니탈정)_(0.1g/1정),하나제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,658106680,아세네정(아세클로페낙)_(0.1g/1정),(유)한풍제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,658203010,아이제낙정100밀리그램(아세클로페낙)_(0.1g/1정),(주)비보존제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,658600670,아크로정(아세클로페낙)_(0.1g/1정),이연제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,660701380,위더스페낙정(아세클로페낙)_(0.1g/1정),위더스제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,661604710,뉴클로페낙정(아세클로페낙)_(0.1g/1정),(주)알피바이오,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,661901670,크로탈정(아세클로페낙)_(0.1g/1정),영풍제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,662501270,아스낙정(아세클로페낙)_(0.1g/1정),(주)넥스팜코리아,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,663300870,에스노펜정(아세클로페낙)_(0.1g/1정),에스에스팜(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,663601080,아가펜정(아세클로페낙)_(0.1g/1정),한국프라임제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,663803260,툴스페낙정100밀리그램(아세클로페낙)_(0.1g/1정),천우신약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,664900360,아세날정(아세클로페낙)_(0.1g/1정),성원애드콕제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,665001860,엔클로페낙정(아세클로페낙)_(0.1g/1정),(주)경보제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,665502000,에이텍정(아세클로페낙)_(0.1g/1정),한국유니온제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,669604450,아세쿨정(아세클로페낙)_(0.1g/1정),(주)아이월드제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,669804090,아세론정(아세클로페낙)_(0.1g/1정),구주제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,669902550,아세파인정(아세클로페낙)_(0.1g/1정),대한뉴팜(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,670101330,아스로펜정(아세클로페낙)_(0.1g/1정),(주)팜젠사이언스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,670400900,휴니즈아세클로페낙정_(0.1g/1정),(주)휴온스메디텍,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,670501610,아세로탈정100밀리그램(아세클로페낙)_(0.1g/1정),(주)보령바이오파마,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,670601220,세크로정(아세클로페낙)(수출명:HUONSACENACTab.)_(0.1g/1정),(주)휴온스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,671700970,카나펜정(아세클로페낙)_(0.1g/1정),주식회사제뉴원사이언스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,671801920,세나펜정(아세클로페낙)_(0.1g/1정),대원제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,674400630,아세큐어정(아세클로페낙)_(0.1g/1정),아이큐어(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,678600670,세크로낙정100밀리그램(아세클로페낙)_(0.1g/1정),(주)다산제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
